beer1,beer2,overall,aroma,palate,taste
Zeppelin Bier,Dale's Pale Ale,2.8722813232690143,2.8284271247461903,0.8660254037844386,3.1622776601683795
Zeppelin Bier,Sierra Nevada Pale Ale,2.23606797749979,1.6583123951777,1.5,1.4142135623730951
Zeppelin Bier,Michelob Ultra,2.0,2.0,2.5,2.0
Zeppelin Bier,Natural Light,0.0,0.0,0.0,0.0
Zeppelin Bier,Bud Light,4.47213595499958,4.6097722286464435,4.795831523312719,4.924428900898052
Zeppelin Bier,Fat Tire Amber Ale,2.5,2.449489742783178,1.8708286933869707,2.8722813232690143
Zeppelin Bier,Coors Light,2.9154759474226504,2.8284271247461903,3.278719262151,2.9154759474226504
Zeppelin Bier,Blue Moon Belgian White,1.7320508075688772,1.7320508075688772,1.3228756555322954,2.179449471770337
Zeppelin Bier,60 Minute IPA,2.8284271247461903,3.082207001484488,1.5811388300841898,3.2015621187164243
Zeppelin Bier,Guinness Draught,3.082207001484488,2.0615528128088303,2.5495097567963922,1.8708286933869707
Zeno,Dale's Pale Ale,2.1213203435596424,2.1213203435596424,1.3228756555322954,1.7320508075688772
Zeno,Sierra Nevada Pale Ale,2.0615528128088303,1.9364916731037085,1.5811388300841898,1.5
Zeno,Michelob Ultra,2.1213203435596424,2.8284271247461903,1.118033988749895,2.1213203435596424
Zeno,Natural Light,3.0,2.5,3.0,2.5
Zeno,Bud Light,3.5355339059327378,5.809475019311125,5.873670062235365,5.1478150704935
Zeno,Fat Tire Amber Ale,2.0,3.082207001484488,3.278719262151,2.0
Zeno,Coors Light,2.958039891549808,3.278719262151,4.58257569495584,2.8722813232690143
Zeno,Blue Moon Belgian White,2.29128784747792,2.449489742783178,1.7320508075688772,2.0615528128088303
Zeno,60 Minute IPA,2.0615528128088303,1.7320508075688772,2.8284271247461903,1.8708286933869707
Zeno,Guinness Draught,2.9154759474226504,3.640054944640259,2.0615528128088303,2.7386127875258306
Wunder Weisse,Dale's Pale Ale,2.5495097567963922,1.3228756555322954,2.5495097567963922,2.5
Wunder Weisse,Sierra Nevada Pale Ale,2.3979157616563596,1.9364916731037085,2.0,1.6583123951777
Wunder Weisse,Michelob Ultra,2.1213203435596424,2.5,1.8027756377319946,1.8027756377319946
Wunder Weisse,Natural Light,1.0,1.5,0.5,0.5
Wunder Weisse,Bud Light,3.3541019662496847,4.387482193696061,2.7386127875258306,4.153311931459037
Wunder Weisse,Fat Tire Amber Ale,2.7386127875258306,0.7071067811865476,1.8708286933869707,1.7320508075688772
Wunder Weisse,Coors Light,3.7080992435478315,4.873397172404482,4.031128874149275,4.242640687119285
Wunder Weisse,Blue Moon Belgian White,2.6457513110645907,1.6583123951777,2.598076211353316,2.1213203435596424
Wunder Weisse,60 Minute IPA,2.958039891549808,2.7386127875258306,2.9154759474226504,2.958039891549808
Wunder Weisse,Guinness Draught,3.3166247903554,2.0615528128088303,2.345207879911715,2.5495097567963922
Wolters Fest-Bier,Dale's Pale Ale,2.692582403567252,2.9154759474226504,1.9364916731037085,1.8027756377319946
Wolters Fest-Bier,Sierra Nevada Pale Ale,3.872983346207417,3.427827300200522,2.1213203435596424,2.6457513110645907
Wolters Fest-Bier,Michelob Ultra,4.924428900898052,5.172040216394301,4.55521678957215,4.58257569495584
Wolters Fest-Bier,Natural Light,3.278719262151,3.24037034920393,3.5355339059327378,3.3166247903554
Wolters Fest-Bier,Bud Light,4.716990566028302,4.031128874149275,4.716990566028302,4.527692569068709
Wolters Fest-Bier,Fat Tire Amber Ale,3.082207001484488,2.0615528128088303,1.8027756377319946,1.9364916731037085
Wolters Fest-Bier,Coors Light,4.301162633521313,4.153311931459037,3.2015621187164243,4.183300132670378
Wolters Fest-Bier,Blue Moon Belgian White,2.598076211353316,2.1213203435596424,2.23606797749979,1.8027756377319946
Wolters Fest-Bier,60 Minute IPA,2.7838821814150108,3.4641016151377544,2.0615528128088303,2.449489742783178
Wolters Fest-Bier,Guinness Draught,2.8284271247461903,2.7838821814150108,2.5,1.4142135623730951
Witty,Dale's Pale Ale,3.5355339059327378,1.4142135623730951,2.345207879911715,2.0
Witty,Sierra Nevada Pale Ale,3.122498999199199,1.8708286933869707,2.5,2.9154759474226504
